"Plant.Code","Plant.Name","State","Latitude","Longitude","DC","HB","ON","PN","RC","RT","NA"
126,"H Wilson Sundt Generating Station","AZ","32.159999999999997","-110.90470000000001",0,0,0,0,0,0,842819
127,"Oklaunion","TX","34.082500000000003","-99.175299999999993",0,0,0,0,3216641.024,0,0
130,"Cross","SC","33.371389000000001","-80.113332999999997",0,0,0,0,11892580.484,0,0
136,"Seminole (FL)","FL","29.733056000000001","-81.632778000000002",0,0,0,0,8210874.049,0,0
141,"Agua Fria","AZ","33.556100000000001","-112.2153",0,0,0,0,0,0,12617
145,"Horse Mesa","AZ","33.590699999999998","-111.34399999999999",0,0,0,0,0,0,15396
147,"Kyrene","AZ","33.355600000000003","-111.9353",0,0,0,-182,702634,0,-263
148,"Mormon Flat","AZ","33.553600000000003","-111.4431",0,0,0,0,0,0,5195
149,"Roosevelt","AZ","33.671104","-111.16178600000001",0,0,0,0,0,0,37940
150,"Stewart Mountain","AZ","33.566099999999999","-111.536",0,0,0,0,0,0,18341
151,"McClure","CA","37.629359999999998","-120.93138999999999",0,0,0,0,0,0,3400
152,"Davis Dam","AZ","35.197043999999998","-114.570669",0,0,0,0,0,0,1162920
153,"Glen Canyon Dam","AZ","36.936613999999999","-111.48387200000001",0,0,0,0,0,0,3344619
154,"Hoover Dam (NV)","NV","36.015509999999999","-114.738006",0,0,0,0,0,0,2352308
159,"Lake Creek Dam","UT","40.493631000000001","-111.312506",0,0,0,0,0,0,3744
160,"Apache Station","AZ","32.060299999999998","-109.8931",0,0,0,0,2620963.018,0,17064
161,"Turlock Lake","CA","37.611460999999998","-120.594678",0,0,0,0,0,0,-59
162,"Hickman","CA","37.621535999999999","-120.746247",0,0,0,0,0,0,2857
165,"GREC","OK","36.190277999999999","-95.289400000000001",0,0,0,0,4674420.365,0,179.676
166,"Carpenter","AR","34.442500000000003","-93.026200000000003",0,0,0,0,0,0,106981
167,"Cecil Lynch","AR","34.753500000000003","-92.198700000000002",0,0,0,0,0,0,0
169,"Harvey Couch","AR","33.359200000000001","-93.4649",0,0,0,0,0,0,0
170,"Lake Catherine","AR","34.434100000000001","-92.904899999999998",0,0,90653,0,0,0,0
171,"Mabelvale","AR","34.635997000000003","-92.409602000000007",0,0,0,0,0,0,397
172,"Osceola (AR)","AR","35.697499999999998","-90.005300000000005",0,0,0,0,0,0,0
174,"Remmel","AR","34.427199999999999","-92.894099999999995",0,0,0,0,0,0,35577
180,"Volta 2","CA","40.451929999999997","-121.86215",0,0,0,0,0,0,3363
182,"Beaver Dam","AR","36.421506999999998","-93.847373000000005",0,0,0,0,0,0,126245
187,"Degray","AR","34.211913000000003","-93.110962999999998",0,0,0,0,0,0,75645
188,"Greers Ferry Lake","AR","35.520699999999998","-91.9953",0,0,0,0,0,0,149328
193,"Municipal Light","AR","36.385800000000003","-90.186700000000002",0,0,0,0,0,0,0
195,"Narrows (AR)","AR","34.148426999999998","-93.715168000000006",0,0,0,0,0,0,38533
196,"Norfork","AR","36.249099999999999","-92.240099999999998",0,0,0,0,0,0,135669
197,"Blakely Mountain","AR","34.570984000000003","-93.194424999999995",0,0,0,0,0,0,168451
198,"Bull Shoals","AR","36.363500000000002","-92.576300000000003",0,0,0,0,0,0,513677
199,"Dardanelle","AR","35.250300000000003","-93.168599999999998",0,0,0,0,0,0,484586
201,"Thomas Fitzhugh","AR","35.462381999999998","-93.804925999999995",0,0,0,0,0,0,26085
202,"Carl Bailey","AR","35.260102000000003","-91.363426000000004",0,0,0,0,0,0,3132
203,"McClellan (AR)","AR","33.564799999999998","-92.791700000000006",0,0,0,0,0,0,117552.003
204,"Clinton Power Station","IL","40.171900000000001","-88.8339",0,0,0,9071711,0,0,0
207,"St Johns River Power Park","FL","30.430800000000001","-81.550799999999995",0,0,0,0,7144486.045,0,0
210,"Wolf Creek Generating Station","KS","38.239260000000002","-95.689779999999999",0,0,0,8558384,0,0,0
214,"Alta Powerhouse","CA","39.215978999999997","-120.80355",0,0,0,0,0,0,3545
215,"Angels","CA","38.071944000000002","-120.539444",0,0,0,0,0,0,4285
217,"Balch 1","CA","36.909137000000001","-119.087712",0,0,0,0,0,0,44325
218,"Balch 2","CA","36.908906999999999","-119.08755600000001",0,0,0,0,0,0,158988
219,"Belden","CA","40.007444999999997","-121.249438",0,0,0,0,0,0,161634
220,"Bucks Creek","CA","39.910620000000002","-121.327692",0,0,0,0,0,0,70387
221,"Butt Valley","CA","40.175655999999996","-121.190663",0,0,0,0,0,0,88042
222,"Caribou 1","CA","40.085476","-121.148241",0,0,0,0,0,0,71782
223,"Caribou 2","CA","40.085996999999999","-121.149373",0,0,0,0,0,0,289603
225,"Chili Bar","CA","38.771763999999997","-120.813239",0,0,0,0,0,0,1702
227,"Coleman PH","CA","40.404645000000002","-122.121904",0,0,0,0,0,0,35544
229,"Cow Creek","CA","40.570816999999998","-122.02093000000001",0,0,0,0,0,0,4082
231,"Cresta","CA","39.825907000000001","-121.40968700000001",0,0,0,0,0,0,148108
232,"De Sabla","CA","39.869264999999999","-121.63181899999999",0,0,0,0,0,0,43650
233,"Deer Creek PH","CA","39.298070000000003","-120.8443",0,0,0,0,0,0,17756
235,"Drum 1","CA","39.256872999999999","-120.767437",0,0,0,0,0,0,19894
236,"Drum 2","CA","39.257387999999999","-120.76704599999999",0,0,0,0,0,0,170814
237,"Dutch Flat","CA","39.216985000000001","-120.835587",0,0,0,0,0,0,60196
238,"El Dorado","CA","38.793574","-120.619152",0,0,0,0,0,0,44779
239,"Electra","CA","38.330984999999998","-120.669901",0,0,0,0,0,0,220266
240,"Haas","CA","36.927424000000002","-119.02025",0,0,0,0,0,0,138226
241,"Halsey","CA","38.956985000000003","-121.041932",0,0,0,0,0,0,24258
242,"Hamilton Branch","CA","40.268712000000001","-121.089479",0,0,0,0,0,0,4101
243,"Hat Creek 1","CA","40.929296999999998","-121.544462",0,0,0,0,0,0,20956
