"Plant.Id","total.gen","Plant.Name","State","Latitude","Longitude"
172,0,"Osceola (AR)","AR","35.697499999999998","-90.005300000000005"
174,35577,"Remmel","AR","34.427199999999999","-92.894099999999995"
180,3363,"Volta 2","CA","40.451929999999997","-121.86215"
182,126245,"Beaver Dam","AR","36.421506999999998","-93.847373000000005"
187,75645,"Degray","AR","34.211913000000003","-93.110962999999998"
188,149328,"Greers Ferry Lake","AR","35.520699999999998","-91.9953"
193,0,"Municipal Light","AR","36.385800000000003","-90.186700000000002"
195,38533,"Narrows (AR)","AR","34.148426999999998","-93.715168000000006"
196,135669,"Norfork","AR","36.249099999999999","-92.240099999999998"
197,168451,"Blakely Mountain","AR","34.570984000000003","-93.194424999999995"
198,513677,"Bull Shoals","AR","36.363500000000002","-92.576300000000003"
199,484586,"Dardanelle","AR","35.250300000000003","-93.168599999999998"
201,26085,"Thomas Fitzhugh","AR","35.462381999999998","-93.804925999999995"
202,3132,"Carl Bailey","AR","35.260102000000003","-91.363426000000004"
203,117552.003,"McClellan (AR)","AR","33.564799999999998","-92.791700000000006"
204,9071711,"Clinton Power Station","IL","40.171900000000001","-88.8339"
207,7144486.045,"St Johns River Power Park","FL","30.430800000000001","-81.550799999999995"
210,8558384,"Wolf Creek Generating Station","KS","38.239260000000002","-95.689779999999999"
214,3545,"Alta Powerhouse","CA","39.215978999999997","-120.80355"
215,4285,"Angels","CA","38.071944000000002","-120.539444"
217,44325,"Balch 1","CA","36.909137000000001","-119.087712"
218,158988,"Balch 2","CA","36.908906999999999","-119.08755600000001"
219,161634,"Belden","CA","40.007444999999997","-121.249438"
220,70387,"Bucks Creek","CA","39.910620000000002","-121.327692"
221,88042,"Butt Valley","CA","40.175655999999996","-121.190663"
222,71782,"Caribou 1","CA","40.085476","-121.148241"
223,289603,"Caribou 2","CA","40.085996999999999","-121.149373"
225,1702,"Chili Bar","CA","38.771763999999997","-120.813239"
227,35544,"Coleman PH","CA","40.404645000000002","-122.121904"
229,4082,"Cow Creek","CA","40.570816999999998","-122.02093000000001"
231,148108,"Cresta","CA","39.825907000000001","-121.40968700000001"
232,43650,"De Sabla","CA","39.869264999999999","-121.63181899999999"
233,17756,"Deer Creek PH","CA","39.298070000000003","-120.8443"
235,19894,"Drum 1","CA","39.256872999999999","-120.767437"
236,170814,"Drum 2","CA","39.257387999999999","-120.76704599999999"
237,60196,"Dutch Flat","CA","39.216985000000001","-120.835587"
238,44779,"El Dorado","CA","38.793574","-120.619152"
239,220266,"Electra","CA","38.330984999999998","-120.669901"
240,138226,"Haas","CA","36.927424000000002","-119.02025"
241,24258,"Halsey","CA","38.956985000000003","-121.041932"
242,4101,"Hamilton Branch","CA","40.268712000000001","-121.089479"
243,20956,"Hat Creek 1","CA","40.929296999999998","-121.544462"
244,32216,"Hat Creek 2","CA","40.960675000000002","-121.54865700000001"
246,346417,"Humboldt Bay","CA","40.741500000000002","-124.2103"
248,27483,"Inskip","CA","40.400987999999998","-121.965502"
249,434190,"James B Black","CA","40.992294999999999","-121.975182"
250,0,"Kerckhoff","CA","37.092486000000001","-119.552826"
253,9982,"Kilarc","CA","40.677827000000001","-121.87325300000001"
254,41283,"Kings River PH","CA","36.888165999999998","-119.158777"
255,4223,"Lime Saddle","CA","39.698754999999998","-121.57096"
258,4334,"Merced Falls","CA","37.523009999999999","-120.329905"
259,0,"Dynegy Morro Bay LLC","CA","35.372166999999997","-120.856562"
260,4152565,"Dynegy Moss Landing Power Plant","CA","36.804836999999999","-121.782241"
261,11545,"Murphys","CA","38.147092999999998","-120.44639599999999"
262,25183,"Narrows PH","CA","39.236400000000003","-121.27174100000001"
264,5091,"Phoenix","CA","38.032102999999999","-120.326537"
265,177903,"Pit 1","CA","40.990839999999999","-121.498243"
266,214655,"Pit 3","CA","40.997447999999999","-121.74813899999999"
267,305937,"Pit 4","CA","40.986361000000002","-121.84944"
268,517330,"Pit 5","CA","40.986196999999997","-121.977594"
269,278465,"Pit 6","CA","40.922567999999998","-121.992906"
270,303928,"Pit 7","CA","40.847462","-121.990798"
271,75895,"Pittsburg Power","CA","38.039167999999997","-121.894469"
272,312983,"Poe","CA","39.722892000000002","-121.469814"
274,11286,"Potter Valley","CA","39.361786000000002","-123.127934"
275,236934,"Rock Creek","CA","39.905209999999997","-121.345226"
276,913,"San Joaquin 2","CA","37.203232999999997","-119.497508"
277,1185,"San Joaquin 3","CA","37.253717999999999","-119.519352"
279,106540,"Salt Springs","CA","38.497914000000002","-120.21811"
280,30054,"South","CA","40.395395999999998","-121.879186"
281,25046,"Spaulding 1","CA","39.324612999999999","-120.644807"
282,1861,"Spaulding 2","CA","39.324592000000003","-120.645375"
283,3449,"Spaulding 3","CA","39.337679000000001","-120.63546700000001"
284,15316,"Spring Gap","CA","38.186529999999998","-120.11168000000001"
285,146457,"Stanislaus","CA","38.139048000000003","-120.37032499999999"
286,4591707,"Geysers Unit 5-20","CA","38.777000000000001","-122.745"
287,191952,"Tiger Creek","CA","38.449291000000002","-120.492645"
289,1656,"Tule River","CA","36.163075999999997","-118.707104"
290,25463,"Volta 1","CA","40.459111","-121.86708"
291,52180,"West Point PH","CA","38.420898000000001","-120.549572"
292,40807,"Wise","CA","38.889862000000001","-121.098525"
293,6571,"A G Wishon","CA","37.151049999999998","-119.504724"
294,65390,"Copco 1","CA","41.978914000000003","-122.335317"
295,86439,"Copco 2","CA","41.975715999999998","-122.358127"
296,7396,"Fall Creek","CA","41.985605","-122.360455"
297,85550,"Iron Gate","CA","41.932980999999998","-122.43678"
298,11977246.06,"Limestone","TX","31.421900000000001","-96.252499999999998"
299,274996,"Blundell","UT","38.488900000000001","-112.8533"
301,977,"El Cajon","CA","32.7958","-116.9722"
302,540007,"Encina","CA","33.136099999999999","-117.3364"
303,23880,"Kearny","CA","32.834000000000003","-117.13379999999999"
305,5308,"Miramar","CA","32.876100000000001","-117.1664"
313,70792,"Green Lake","AK","56.986283999999998","-135.12275"
314,11793,"Drop 5","CA","32.673096999999999","-115.392026"
315,1369722,"AES Alamitos LLC","CA","33.768799999999999","-118.1009"
316,0,"Sepulveda Canyon","CA","34.096899999999998","-118.4795"
317,151124,"Big Creek 1","CA","37.2042","-119.2396"
