"Plant.Code","Plant.Name","State","Latitude","Longitude","total.wc"
2,"Bankhead Dam","AL","33.458665000000003","-87.356823000000006",0
3,"Barry","AL","31.006900000000002","-88.010300000000001",2095846881.46228
4,"Walter Bouldin Dam","AL","32.583888999999999","-86.283056000000002",0
7,"Gadsden","AL","34.012799999999999","-85.970799999999997",153201295.110019
8,"Gorgas","AL","33.644343999999997","-87.196485999999993",2603455035.05436
9,"Copper","TX","31.756900000000002","-106.375",5824950.95801226
10,"Greene County","AL","32.601700000000001","-87.781099999999995",1477071072.68161
11,"H Neely Henry Dam","AL","33.784500000000001","-86.052400000000006",0
12,"Holt Dam","AL","33.255299999999998","-87.4495",0
13,"Jordan Dam","AL","32.618899999999996","-86.254800000000003",0
14,"Logan Martin Dam","AL","33.425877999999997","-86.337547000000001",0
15,"Lay Dam","AL","32.963299999999997","-86.518699999999995",0
16,"Martin Dam","AL","32.680394","-85.911441999999994",0
17,"Mitchell Dam","AL","32.806024999999998","-86.444891999999996",0
18,"Lewis Smith Dam","AL","33.940600000000003","-87.107699999999994",0
19,"Thurlow Dam","AL","32.535435999999997","-85.887613999999999",0
20,"Weiss Dam","AL","34.172142000000001","-85.753805999999997",0
21,"Yates Dam","AL","32.574300000000001","-85.890100000000004",0
26,"E C Gaston","AL","33.244211","-86.458055999999999",2667598428.36873
30,"Madelia","MN","44.052500000000002","-94.415300000000002",25564.4421039525
34,"Rollins","CA","39.134259","-120.95334099999999",0
38,"Millers Ferry","AL","32.100881000000001","-87.399766999999997",0
46,"Browns Ferry","AL","34.7042","-87.118899999999996",564468133.710481
47,"Colbert","AL","34.743899999999996","-87.848600000000005",731540873.59219
48,"Guntersville","AL","34.421272000000002","-86.393930999999995",0
49,"Wheeler Dam","AL","34.806899999999999","-87.381900000000002",0
50,"Widows Creek","AL","34.883021999999997","-85.755252999999996",1765162669.26281
51,"Dolet Hills","LA","32.030555999999997","-93.569166999999993",1174351967.47841
53,"Gantt","AL","31.403300000000002","-86.479468999999995",0
54,"J K Smith","KY","37.883299999999998","-84.101699999999994",51526045.2647972
55,"Point A","AL","31.361146000000002","-86.518306999999993",0
56,"Charles R Lowman","AL","31.488019000000001","-87.910747000000001",2358243.39631441
59,"Platte","NE","40.854765","-98.348222000000007",64915288.0403937
60,"Whelan Energy Center","NE","40.580871999999999","-98.312437000000003",172818088.5095
62,"Annex Creek","AK","58.317599999999999","-134.101",0
63,"Gold Creek","AK","58.310699999999997","-134.41739999999999",5805.47091603702
64,"Lemon Creek","AK","58.3536","-134.49529999999999",61823.1727374469
65,"Salmon Creek 1","AK","58.326900000000002","-134.4631",0
66,"Skagway","AK","59.454500000000003","-135.31309999999999",14360.9017396705
69,"Haines","AK","59.235799999999998","-135.44499999999999",54744.5722345597
70,"Swan Lake","AK","55.613892","-131.35417000000001",0
71,"Terror Lake","AK","57.686100000000003","-152.89500000000001",0
72,"Venice Hydro","CA","34.01135","-118.41679999999999",0
75,"Anchorage 1","AK","61.222099999999998","-149.86609999999999",3886214.06306161
77,"Eklutna Hydro Project","AK","61.475211000000002","-149.15009000000001",0
78,"Snettisham","AK","58.141500000000001","-133.73699999999999",0
79,"Aurora Energy LLC Chena","AK","64.847742999999994","-147.735063",0
84,"Ketchikan","AK","55.344641000000003","-131.63342499999999",0
85,"S W Bailey","AK","55.363300000000002","-131.67779999999999",418910.559257198
87,"Escalante","NM","35.415900000000001","-108.08199999999999",292267867.053949
